A A Milne,"""It's Too Late Now"" autobiographer"
A A Milne,Winnie-the-Pooh's creator
a bit,Not much
a bit,Rather
a bit,Slightly
a bit,Some
a bit,Somewhat
a damn,Give ___ (care)
a damn,Rhett's last words
a deal,"""Let's Make ___"""
a deal,"""What ___!"""
a deal,"""You've got ___!"""
a due,"Together, in music"
a due,"Together, musically"
a due,"Together, on a score"
a due,Musical direction
a few,Not many
a few,Some
a few,Three or four
a good many,Lots
a great deal,Lots and lots
a hoot,"""What ___!"""
a job,"""This is ___ for Superman!"""
a la carte,Menu option
a la carte,Ordering option
a la carte,Piecemeal?
A list,Crème de la crème
A list,Elite
A list,Most-wanted invitees
A list,Preferred invitees
A list,Roll top?
A list,Select group
a little,Some
a lot alike,Similar
a lot of,Many
a minor,"Key of Mozart's ""Odense"" Symphony"
a minor,Key of Mendelssohn's Symphony No. 3
a month of Sundays,Quite some time
a must,Not to be missed
a pop,Each
a pop,For one
a pop,Individually
a pop,Per
a pop,Per unit
a run,Give ___ for one's money
a run,Make ___ for it
a scream,Really funny
a shot,"""___ in the Dark"""
a tad,Hardly any
a tad,Just barely
a tad,Just slightly
a tad,Not much
a tad,Not very much
a tad,Slightly
a tad,Some
a tad,Somewhat
A to Z,Complete
A to Z,Completely
A to Z,Possible title for this puzzle
A to Z,The gamut
a trifle,Slightly
AAA,...
AAA,Battery size
AAA,Battery type
AAA,Bond rating
AAA,Bumper sticker letters
AAA,Motorist's org.
AAA,Motorists' org.
AAA,Tiny battery
Aachen,German cathedral city
aae,Cable channel
aah,"""I see!"""
aah,"""Nice!"""
aah,"""That feels good!"""
aah,"""That's nice!"""
aah,"""What a relief!"""
aah,"""Wonderful!"""
aah,"""Won-der-ful!"""
aah,Backrub response
aah,Ooh and ___
aah,Sound at a spa
aah,Sound of relief
aah,Word to a doctor
aahs,Contented sighs
aahs,Cries of delight
aahs,Satisfied sounds
aahs,Sounds of contentment
aahs,Sounds of relief
Aalto,Finnish architect Alvar ___
aam,Texas ___
aar,Berne's river
aar,Rhein feeder
aar,Rhine feeder
aar,River to the Rhine
aar,Swiss river
aar,Swiss river to the Rhine
aar,Swiss stream
Aare,Alpine river
Aare,Alpine stream
Aare,Bern's river
Aare,Rhine feeder
Aare,River to the Rhine
Aare,Sight from Bern
Aare,Swiss river
Aare,Thun's river
Aaron,Composer Copland
Aaron,Early priest
Aaron,Hammerin' Hank
Aaron,Hitter of 755 home runs
Aaron,Moses' brother
AARP,Modern Maturity grp.
AARP,Modern Maturity org.
AARP,Powerful D.C. lobby
AAS,Small batteries
AAS,Some batteries
AAS,Walkman batteries
ab ovo,From the beginning
ab ovo,From the beginning: Lat.
aba,"""The ___ Daba Honeymoon"""
aba,Attorneys' org.
aba,Dr. J's first pro league
aba,Grp. concerned with defense
aba,Lawyer's org.
aba,Lawyers' org.
aba,Legal org.
ababa,Addis ___
abaci,Counters
abaci,Old adders
abaci,Primitive calculators
abaci,You can count on them
aback,One way to be taken
aback,Sternward
Abad,In ___ way
abaft,To the rear
abalone,Marine rock-clinger
abalone,Mother-of-pearl source
abandoned,Left
abandons,Gives up
abase,Belittle
abase,Bring down
abase,Degrade
abase,Demean
abase,Humble
abase,Humiliate
abase,Lower
abase,Lower in rank
abase,Put down
abase,Take down a peg
abased,Degraded
abased,Humiliated
abased,Put down
abaser,"Bully, often"
abases,Puts down
abash,Discompose
abash,Disconcert
abash,Embarrass
abash,Humiliate
abash,Ruffle
abashed,Down
abashes,Makes flush
abat,Blind as ___
abat,Like ___ out of hell
abate,Decrease
abate,Die down
abate,Diminish
abate,Drop off
abate,Ease
abate,Fall off
abate,Lessen
abate,Let up
abate,Moderate
abate,Slacken
abate,Taper off
abate,Wane
abate,Weaken
abated,Died down
abated,Let up
abates,Drops off
abates,Goes down
abates,Lets up
abates,Wanes
abator,"One who suspends an action, at law"
Abba Eban,Israel's first U.N. representative
abba,"""Chiquitita"" quartet"
abba,"""Dancing Queen"" group"
abba,"""Dancing Queen"" pop group"
abba,"""Dancing Queen"" quartet"
abba,"""Fernando"" group"
abba,"""Fernando"" singers"
abba,"""Mamma Mia"" pop group"
abba,Palindromic pop group
abba,Title for some bishops
abbas,Old Jewish scholars
abbe,French clergyman
abbe,French cleric
abbe,French novelist ___ Prévost
abbe,Singer Lane
abbes,French clerics
abbess,"""The Sound of Music"" figure"
abbess,Superior
abbot,Brothers' keeper?
abbot,Monastery head
abby,"""Dear"" advice-giver"
abby,"""Dear"" one"
ABC,"""20/20"" network"
ABC,"""Poison Arrow"" band"
ABC,"2, on an ATM"
ABC,"Agatha Christie's ""The ___ Murders"""
ABC,Disney division
ABC,Epitome of simplicity
ABC,Fox competitor
abcd,Opening run
ABCs,Basics
ABCs,Fundamentals
ABCs,Kindergarten instruction
ABCs,Kindergarten lesson
ABCs,Kindergarten stuff
ABCs,Primer material
ABCs,Rudiments
ABCs,The basics
abdominal,Like some muscles
abduct,Shanghai
abduct,Take away
Abe,"""How to Succeed in Business Without Really Trying"" librettist Burrows"
Abe,"Marge's father-in-law on ""The Simpsons"""
Abe,Actor Vigoda
Abe,Five-spot
Abe,Globetrotters founder Saperstein
Abe,Golfer Mitchell whose image is on the Ryder Cup
Abe,Half a sawbuck
Abe,Honest ___
Abe,Honest one
Abe,Jurist Fortas
Abe,Justice Fortas
Abe,New York City mayor before Ed
Abe,Onetime White House nickname
Abe,Playwright Burrows
Abe,Pres. Lincoln
Abe,Presidential nickname
Abe,Tad's dad
Abe,The fin man?
Abe,White House nickname
abeam,"Crosswise, on deck"
abeam,Perpendicular to the keel
abeat,Skip ___
abed,"Lying, maybe"
abed,"Out, in a way"
abed,In the sack
abed,Not up
abed,Not up yet
abed,Out for the night
abed,Retired
abed,Sacked out
abed,Still sleeping
abed,Tucked in
abed,Under cover?
abed,Under the covers
Abel,Biblical shepherd
Abel,Brother of Cain
Abel,Cain's brother
Abel,Cain's victim
Abel,First murder victim
Abel,Genesis brother
Abel,Genesis victim
abele,Poplar tree
abele,White poplar
aberrance,Deviation
abet,"""Not on ___!"" (""No way!"")"
abet,"""Not on ___!"""
abet,"Assist, in a way"
abet,"Look out for, maybe"
abet,"Support, in a way"
abet,Aid and ___
abet,Aid in crime
abet,Aid's partner
abet,Assist illegally
abet,Assist in crime
abet,Assist in wrongdoing
abet,Be an accessory to
abet,Help
abet,Help at a heist
abet,Help in a heist
abet,Help in a holdup
abet,Help in crime
abet,Help in holding up
abet,Help out with
abet,Opposite of hinder
abet,Support
abet,Top-notch
abets,"Looks out for, maybe"
abets,"Shills for, e.g."
abets,"Supports, in a way"
abets,Encourages
abetted,Helped in a heist
abhor,"Dislike, and then some"
abhor,Can't stand
abhor,Can't stomach
abhor,Can't take
abhor,Hate
abhor,Loathe
abhor,More than dislike
abhorred,Couldn't stand
abhorrent,Despicable
abide by,Follow
abide,Bear
abide,Endure
abide,Put up with
abide,Reside (in)
abide,Stand
abide,Stand for
abide,Stomach
abide,Tolerate
abided,Bore
abided,Put up with
abided,Remained
abides,Puts up with
abides,Tolerates
Abie,"""___ Baby"" (""Hair"" song)"
Abie,"""___ Baby"" (song from ""Hair"")"
Abie,Anne Nichols hero
abies,"""___ Irish Rose"""
abilene,Chisholm Trail town
abilene,Eisenhower's boyhood home
abject,Sorry
ablare,Like some bands
ablare,Loud
ablaze,On fire
able,___-bodied
able,Accomplished
able,Au fait
able,Competent
able,Cutting the mustard
able,Equipped
able,Experienced
able,Fit
able,Fully fit
able,Having the means
able,Masterful
able,Permitted
able,Practiced
able,Proficient
able,Qualified
able,Ready and willing's partner
able,Skilled
able,Skillful
able,Talented
able,Up to it
able,Up to snuff
able,Up to the task
abler,Less inept
abler,More competent
abler,More fit
abloom,Flowering
ablush,Red-faced
ably,Well
ably,With competence
ably,With skill
ABM,1972 treaty subj.
abnegate,Trail left by an animal
abnegated,Gave up
Abner,Baseball's Doubleday
Abner,Capp lad
Abner,Li'l one
Abner,One of the Yokums
abnormal,Eccentric
abnormal,Not right
abnormal,Odd
abo,___ system
abo,Blood letters
abo,Blood-typing letters
abo,Blood-typing system
aboard,On the train
abode,Domicile
abode,Dwelling
abode,Home
abode,Quarters
abodes,Homes
aboil,Agitated
aboil,Bubbling
aboil,Bubbling on the stove
aboil,Bubbling over
aboil,Bubbly
aboil,Buzzing with excitement
aboil,Excitedly
aboil,Full of excitement
aboil,Intensely excited
aboil,Simmering
abolish,Annul
abolish,End
abolish,Get rid of
A-bombs,Mushroom producers
aboriginal,Native
abort,Cancel
abort,Cut short
abort,End early
abort,Halt
abort,Scrub
aborted,Cut short
aborts,Cancels
abound,Be plentiful
abounds,Is rife
abounds,Teems
about,Circa
about,Give or take
about,Here or there
about,More or less
about,Near
about,Nearly
about,Roughly
about,Up's partner
aboutface,One-eighty
above par,Better than average
above,Beyond's partner
above,Heavenward
above,Over
above,Overhead
Abra,"""East of Eden"" woman"
Abra,Magician's opening
Abra,Start of a magician's cry
Abra,Start of an incantation
abrade,Rub
abrade,Rub down
abraded,Worn
abraded,Worn down
Abraham,Isaac's father
abram,"The ""A"" in James A. Garfield"
abram,Garfield's middle name
abram,James ___ Garfield
abram,Presidential middle name
abrasions,Scrapes
abreast,Au courant
abreast,Side by side
abri,Dugout shelter
abridge,Condense
abridge,Cut
abridge,Shorten
abridged,Not all there
abroad,Overseas
abrupt,Short
abrupt,Sudden
abs,"Stomach muscles, briefly"
abs,"Stomach muscles, for short"
abs,Bodybuilder's pride
abs,Exercise target
abs,Exerciser's target
abs,Tummy muscles
abs,Workout target
abscam,F.B.I. sting of the late 70's
absence,Lack
absent,Out
absent,Without
absently,Without thinking
absolute,Sheer
absolutely,"""Yes!"""
absolve,Clear
absolve,Pardon
absorb,Soak up
absorb,Take in
abstain,Fast
abstain,Forbear
abstruse,Deep
absurd,Laughable
Abu Dhabi,Gulf emirate
abu,"""Aladdin"" monkey"
abu,"___ Simbel, Egypt"
abu,___ Dhabi
abu,Aladdin's monkey
abu,Egypt's ___ Simbel
abundant,Plentiful
abuse,"Bullying, e.g."
abuse,Bad treatment
abuse,Invective
abuse,Obloquy
abuse,Treat badly
abusive,Cruel
abut,Adjoin
abut,Be against
abut,Be next to
abut,Border
abut,Border on
abut,Go up against
abut,Have an edge against
abut,Lie next to
abut,Neighbor
abut,Touch
abut,Touch on
abuts,Borders
abuts,Borders on
abuts,Touches
abuttal,It's touching
abuzz,Full of activity
abysm,Deep cavity
abysmal,Really bad
abyss,Bottomless pit
abyss,Chasm
abyss,Depths
abyss,Gulf
abyss,Vast chasm
acacia,Greenish yellow that is redder than liqueur green
acad,Mil. school
acad,Military sch.
acad,Part of U.S.N.A.: Abbr.
acad,Part of USNA
academe,Campus life
academe,College life
academic,Kind of year
Acadia,"""Evangeline"" setting"
Acadia,Maine's ___ National Park
acar,Rent-___
acc,Duke's grp.
acc,N.C. State is in it
accede,Bow
accede,Bow (to)
accede,Give in
accede,Submit
acceded,"Assumed, with ""to"""
acceded,Consented
acceded,Gave in
accent,Highlight
accept,Honor
accept,Swallow
acceptable,O.K.
accepts,O.K.'s
access,Admission
access,Entree
access,Entry
access,Get to
accessed,Got to
accidentprone,Klutzy
accord,Agreement
accord,Honda model
accord,International agreement
accords,Agreements
accost,Buttonhole
accouter,Outfit
accra,African capital
accra,Capital of Ghana
accra,Capital on the Bight of Benin
accra,Capital on the Gulf of Guinea
accredit,Certify
accredits,Certifies
accrete,Become attached
accrete,Grow together
accrual,Increase
accrue,Build up
acct,Billing abbr.
acct,Depositor's holding: Abbr.
acct,I.R.A. part: Abbr.
accts,Bank holdings: Abbr.
accurate,TRUE
accusals,Charges
accuse,Charge
accused,Charged
accuser,Plaintiff
accuses,Charges
accuses,Finds fault with
ac-dc,"Flexible, electrically"
ac-dc,Current choice
ac-dc,Electrical letters
ac-dc,Kind of adapter
ac-dc,Like some appliances
ace,"Trick taker, often"
ace,Adept
ace,Air hero
ace,Big club
ace,Big heart?
ace,Crack
ace,Crackerjack
ace,Duffer's dream
ace,Expert
ace,First-class
ace,First-rate
ace,High card
ace,Hotshot
ace,King topper
ace,One in a suit
ace,One-spot
ace,Phenom
ace,Pitching star
ace,Point of no return?
ace,Pro
ace,Put one past
ace,Rare driving result
ace,Royal flush card
ace,Top gun
ace,Unreturnable serve
ace,Whiz
aced,Breezed through
aced,Got 100 on
aced,Passed with flying colors
aced,Sailed through
aced,Scored 100 on
aced,Scored on serve
aced,Served past
aced,Zipped through
ace-high,"Anaconda loser, almost certainly"
acer,Maple genus
acer,Super server
acer,Tennis serving whiz
acer,Tennis whiz
acerb,Biting
acerb,Bitter
acerb,Having a bite
acerb,Sharp
acerb,Sour
acerb,Tart
acerbic,Biting
acerbic,Sharp
acerose,Needle-shaped
aces,Air force heroes
aces,First-rate
aces,One-spots
aces,Super-duper
aces,They're nonreturnable
aces,They're not returned
aces,Tip-top
aces,Top guns
aces,Top-notch
aces,Whizzes
acetate,Film material
acetate,Transparency
acetic,___ acid
acetic,Kind of acid
acetic,Sour
